2,6510164
1,6507967
5,6510513
2,6352223
2,6177490
5,6434882
1,6262134
4,6209692
2,6188696
7,6003007
2,6432361
1,6390725
9,6300322
1,6357809
9,4653509
6,4616593
1,6035540
5,6230571
2,6223719
6,6452531
1,6432033
1,6448793
3,6248890
1,6170387
11,6034676
2,6230234
3,4211445
1,4211385
1,4211474
6,6271752
4,4504378
3,4221745
1,6186635
1,6106191
3,6451205
4,6430673
3,6383946
5,6177535
3,6352226
3,6296901
2,6446787
2,6251854
3,6398503
3,6275487
3,6256092
1,6364986
6,6426470
10,6016483
4,6278087
12,6295242
1,6292823
2,6442196
6,6550815
1,6172411
3,6286492
1,4114084
1,4114306
4,4113993
4,6056484
4,371026
4,6372045
9,6338221
2,6440443
5,6270084
2,6400649
4,6488792
1,6380676
3,6269992
7,6299813
3,4525464
1,6348065
4,6069259
6,6253417
2,6438901
1,6449593
